step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,nameOrig_outDegree,nameDest_inDegree,HourOfDay,DayOfWeek,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,account_age_steps,txn_amount_vs_historical_avg,orig_community_id,dest_community_id,is_cross_community_txn,payee_past_fraud_ratio,is_single_path_transfer,isComplexFraud,avg_txn_amount_last_5,txn_count_orig,is_night_txn,is_weekend,orig_balance_change,dest_balance_change,txn_vs_orig_balance,txn_vs_dest_balance,degree_ratio,is_cross_community_txn_num,is_single_path_transfer_num,transaction_type,fraud_type
172,CASH_OUT,1116508.49,C45204109,1116508.49,0.0,C500640535,4052464.84,5168973.32,1,0,1,1,4,0,0,1,0,0,0,0,1.0,139224,139224,0,1.0,0,0,0,1,1,0,1.0,0.275513428,1.0,0.27551343,1.0,0,0,debit,Account Takeover Fraud
46,TRANSFER,9977761.05,C154757729,9977761.05,0.0,C1895716929,0.0,0.0,1,0,1,1,22,1,0,0,0,0,1,0,1.0,73321,73321,0,1.0,0,0,0,1,0,0,1.0,0.0,1.0,9977760000000.0,1.0,0,0,transfer,Fake Transfer Fraud
362,CASH_OUT,60450.18,C1506215501,60450.18,0.0,C2011327946,1696767.08,1757217.26,1,0,1,1,2,1,0,1,0,0,0,0,1.0,372120,372120,0,1.0,0,0,0,1,1,0,1.0,0.035626681,1.0,0.035626681,1.0,0,0,debit,Account Takeover Fraud
249,TRANSFER,3879669.76,C754455797,3879669.76,0.0,C2131616208,0.0,0.0,1,0,1,1,9,3,0,0,0,0,1,0,1.0,230205,230205,0,1.0,0,0,0,1,0,0,1.0,0.0,1.0,3879670000000.0,1.0,0,0,transfer,Fake Transfer Fraud
694,CASH_OUT,5175876.53,C731901376,5175876.53,0.0,C1761260133,7229712.73,12405589.26,1,0,1,2,22,0,0,1,0,0,0,0,1.0,240709,240709,0,0.5,0,0,0,1,0,0,1.0,0.715917316,1.0,0.715917316,0.666666667,0,0,debit,Account Takeover Fraud
461,CASH_OUT,227955.85,C1180847965,227955.85,0.0,C217315121,2560547.71,2788503.56,1,0,1,2,5,5,0,1,0,0,0,0,1.0,174269,174269,0,0.5,0,0,0,1,1,1,1.0,0.089026207,1.0,0.089026207,0.666666667,0,0,debit,Account Takeover Fraud
491,TRANSFER,449199.47,C542986012,449199.47,0.0,C628613220,0.0,0.0,1,0,1,1,11,6,0,0,0,0,1,0,1.0,433411,433411,0,1.0,0,0,0,1,0,1,1.0,0.0,1.0,449199000000.0,1.0,0,0,transfer,Fake Transfer Fraud
389,CASH_OUT,173668.46,C1332434443,173668.46,0.0,C672297359,383083.73,556752.19,1,0,1,1,5,2,0,1,0,0,0,0,1.0,399179,399179,0,1.0,0,0,0,1,1,0,1.0,0.453343346,1.0,0.453343346,1.0,0,0,debit,Account Takeover Fraud
588,TRANSFER,1064425.7,C875659264,1064425.7,0.0,C656468700,0.0,0.0,1,0,1,1,12,3,0,0,0,0,1,0,1.0,445401,445401,0,1.0,0,0,0,1,0,0,1.0,0.0,1.0,1064430000000.0,1.0,0,0,transfer,Fake Transfer Fraud
610,TRANSFER,493538.8,C875380581,493538.8,0.0,C2141157779,0.0,0.0,1,0,1,1,10,4,0,0,0,0,1,0,1.0,449106,449106,0,1.0,0,0,0,1,0,0,1.0,0.0,1.0,493539000000.0,1.0,0,0,transfer,Fake Transfer Fraud
