step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,nameOrig_outDegree,nameDest_inDegree,HourOfDay,DayOfWeek,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,account_age_steps,txn_amount_vs_historical_avg,orig_community_id,dest_community_id,is_cross_community_txn,payee_past_fraud_ratio,is_single_path_transfer,isComplexFraud,avg_txn_amount_last_5,txn_count_orig,is_night_txn,is_weekend,orig_balance_change,dest_balance_change,txn_vs_orig_balance,txn_vs_dest_balance,degree_ratio,is_cross_community_txn_num,is_single_path_transfer_num,transaction_type,fraud_type
172,CASH_OUT,1116508.49,C45204109,1116508.49,0.0,C500640535,4052464.84,5168973.32,1,0,1,1,4,0,0,1,0,0,0,0,1.0,139224,139224,0,1.0,0,0,0,1,1,0,1.0,0.275513428,1.0,0.27551343,1.0,0,0,debit,Account Takeover Fraud
143,CASH_IN,537329.18,C2008380267,787107.3,1324436.48,C2009404047,2051580.39,1514251.21,0,0,1,4,23,5,1,0,0,0,0,0,1.0,87925,87925,0,0.0,0,0,0,1,0,1,-0.68266319,-0.261909883,0.68266319,0.261909883,0.4,0,0,credit,Normal
259,TRANSFER,3677286.12,C260203526,0.0,0.0,C1761162182,4092542.35,7769828.47,0,0,1,6,19,3,0,0,0,0,1,0,1.0,220723,220723,0,0.0,0,0,0,1,0,0,0.0,0.898533431,3677290000000.0,0.898533431,0.285714286,0,0,transfer,Normal
376,CASH_IN,146053.14,C745737823,3460311.29,3606364.43,C1354254997,4767073.36,4621020.21,0,0,1,3,16,1,1,0,0,0,0,0,1.0,108878,108878,0,0.0,0,0,0,1,0,0,-0.042208093,-0.030637907,0.042208093,0.030637905,0.5,0,0,credit,Normal
46,TRANSFER,9977761.05,C154757729,9977761.05,0.0,C1895716929,0.0,0.0,1,0,1,1,22,1,0,0,0,0,1,0,1.0,73321,73321,0,1.0,0,0,0,1,0,0,1.0,0.0,1.0,9977760000000.0,1.0,0,0,transfer,Fake Transfer Fraud
129,CASH_IN,46464.28,C927386728,6418683.62,6465147.9,C504541281,4007004.75,4172134.44,0,0,1,2,9,5,1,0,0,0,0,0,1.0,78860,78860,0,0.0,0,0,0,1,0,1,-0.007238911,0.041210256,0.007238911,0.011595764,0.666666667,0,0,credit,Normal
403,CASH_OUT,126585.1,C918634075,0.0,0.0,C1921179551,1417300.92,1497346.77,0,0,1,1,19,2,0,1,0,0,0,0,1.0,420526,420526,0,0.0,0,0,0,1,0,0,0.0,0.056477667,126585000000.0,0.089314202,1.0,0,0,debit,Normal
210,TRANSFER,421286.59,C937265973,0.0,0.0,C1409726785,427082.75,848369.34,0,0,1,1,18,1,0,0,0,0,1,0,1.0,191597,191597,0,0.0,0,0,0,1,0,0,0.0,0.986428485,421287000000.0,0.986428485,1.0,0,0,transfer,Normal
362,CASH_OUT,60450.18,C1506215501,60450.18,0.0,C2011327946,1696767.08,1757217.26,1,0,1,1,2,1,0,1,0,0,0,0,1.0,372120,372120,0,1.0,0,0,0,1,1,0,1.0,0.035626681,1.0,0.035626681,1.0,0,0,debit,Account Takeover Fraud
189,CASH_OUT,316902.19,C2133414090,379149.0,62246.81,C193946880,7050852.77,7367754.96,0,0,1,6,21,0,0,1,0,0,0,0,1.0,3263,3263,0,0.0,0,0,0,1,0,0,0.83582494,0.044945229,0.83582494,0.044945229,0.285714286,0,0,debit,Normal
